AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,qc,model_type,num_steps,h_scale,theta_j
0.7333333333333333,0.7543859649122806,0.775,0.7444444444444445,0.7857142857142857,QC,Q_1body,,,
0.6222222222222222,0.5238095238095237,0.5833333333333333,0.5444444444444444,0.6428571428571429,QC,Q_1body,,,
0.72,0.7204968944099379,0.8846153846153846,0.7,0.8,QC,Q_1body,,,
0.76,0.6031746031746031,0.6136363636363636,0.6000000000000001,0.6666666666666666,QC,Q_1body,,,
0.9600000000000001,0.9206349206349206,0.9545454545454546,0.9,0.9333333333333333,QC,Q_1body,,,
0.675,0.5333333333333333,0.5416666666666666,0.55,0.5714285714285714,QC,Q_1body,,,
0.5750000000000001,0.5906432748538011,0.5888888888888889,0.6,0.6428571428571429,QC,Q_1body,,,
0.5249999999999999,0.3,0.3,0.3,0.42857142857142855,QC,Q_1body,,,
0.42500000000000004,0.5757575757575758,0.625,0.575,0.7142857142857143,QC,Q_1body,,,
0.5555555555555556,0.625668449197861,0.625,0.6333333333333333,0.6428571428571429,QC,Q_1body,,,
0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2857142857142857,QC,Q_1body,,,
0.8888888888888888,0.7543859649122806,0.775,0.7444444444444445,0.7857142857142857,QC,Q_1body,,,
0.3111111111111111,0.36363636363636365,0.3076923076923077,0.4444444444444444,0.5714285714285714,QC,Q_1body,,,
0.6444444444444444,0.5906432748538011,0.6,0.5888888888888889,0.6428571428571429,QC,Q_1body,,,
0.42000000000000004,0.55,0.55,0.55,0.6,QC,Q_1body,,,
0.45999999999999996,0.49760765550239233,0.5,0.5,0.5333333333333333,QC,Q_1body,,,
0.66,0.6031746031746031,0.6136363636363636,0.6000000000000001,0.6666666666666666,QC,Q_1body,,,
0.575,0.391304347826087,0.34615384615384615,0.45,0.6428571428571429,QC,Q_1body,,,
0.525,0.4269005847953216,0.43333333333333335,0.425,0.5,QC,Q_1body,,,
0.325,0.3,0.3,0.3,0.42857142857142855,QC,Q_1body,,,
0.575,0.4166666666666667,0.35714285714285715,0.5,0.7142857142857143,QC,Q_1body,,,
0.39999999999999997,0.42857142857142855,0.4666666666666667,0.4666666666666667,0.42857142857142855,QC,Q_1body,,,
0.5999999999999999,0.625668449197861,0.625,0.6333333333333333,0.6428571428571429,QC,Q_1body,,,
0.6222222222222222,0.625668449197861,0.625,0.6333333333333333,0.6428571428571429,QC,Q_1body,,,
0.8444444444444443,0.65,0.696969696969697,0.6444444444444444,0.7142857142857143,QC,Q_1body,,,
0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5714285714285714,QC,Q_1body,,,
